Keys,english,french,manderin,cantonese
widgets_edd_image_component_status_delivered,delivered,delivered,delivered,delivered
tracking_delivery_schedule_avail_status,Schedule your delivery,Schedule your delivery,Schedule your delivery,Schedule your delivery
tracking_status_exception_weather,Weather Delay,Weather Delay,Weather Delay,Weather Delay
widgets_return_sms_sms_signup_copy,Also send me messages for special offers & promotions.,Also send me messages for special offers & promotions.,Also send me messages for special offers & promotions.,Also send me messages for special offers & promotions.
widgets_contact_title,Need Help,Need Help,Need Help,Need Help
widgets_tracking_status_delivered_status_code,DELIVERED,DELIVERED,DELIVERED,DELIVERED
widgets_tracking_status_intransit_status,On its way,On its way,On its way,On its way
widgets_sms_terms_copy,Terms apply.,Terms apply.,Terms apply.,Terms apply.
widgets_tracking_status_itpp_intran_status,In Transit to Pickup Point,In Transit to Pickup Point,In Transit to Pickup Point,In Transit to Pickup Point
widgets_edd_today,Today,Today,Today,Today
widgets_return_edd_no_ship_by_date_text,Return date information is not available at this time.,Return date information is not available at this time.,Return date information is not available at this time.,Return date information is not available at this time.
widgets_new_sms_signup_error,Please enter a valid phone number.,Please enter a valid phone number.,Please enter a valid phone number.,Please enter a valid phone number.
widgets_survey_feedback_stars_rating_text,Rate your shipping experience,Rate your shipping experience,Rate your shipping experience,Rate your shipping experience
widgets_sms_sms_update_header,Update your number,Update your number,Update your number,Update your number
widgets_shipping_activity_carrier_handoff_tooltip_link_title,What is this?,What is this?,What is this?,What is this?
tracking_status_exception_carrier_delay,Carrier Delay,Carrier Delay,Carrier Delay,Carrier Delay
widgets_footer_narvar_terms,Terms of Use,Terms of Use,Terms of Use,Terms of Use
template_support_card_image_title,New Arrivals,New Arrivals,New Arrivals,New Arrivals
widgets_tracking_status_undl_excep_status,Undeliverable,Undeliverable,Undeliverable,Undeliverable
tracking_delivery_reschedule_nonavail_status,Delivery scheduled- rescheduling not available,Delivery scheduled- rescheduling not available,Delivery scheduled- rescheduling not available,Delivery scheduled- rescheduling not available
widgets_edd_where_is_my_package_link_title,Trying to find your package?,Trying to find your package?,Trying to find your package?,Trying to find your package?
template_support_survey_panel_title,Help Us Improve,Help Us Improve,Help Us Improve,Help Us Improve
widgets_sms_sms_cancel_update_text,Keep Current Number,Keep Current Number,Keep Current Number,Keep Current Number
tracking_status_exception_undeliv,Undeliverable,Undeliverable,Undeliverable,Undeliverable
widgets_tracking_status_dlpp_deliv_status,Delivered to a Pickup Point,Delivered to a Pickup Point,Delivered to a Pickup Point,Delivered to a Pickup Point
template_marketing_delivered_panel_title,Delivery Date,Delivery Date,Delivery Date,Delivery Date
widgets_tracking_status_delivered_status,Delivered,Delivered,Delivered,Delivered
widgets_return_status_print_label,Print Your Return Label,Print Your Return Label,Print Your Return Label,Print Your Return Label
tracking_status_exception_deliv_sender,Undeliverable: Received by Sender,Undeliverable: Received by Sender,Undeliverable: Received by Sender,Undeliverable: Received by Sender
widgets_return_survey_feedback_stars_rating_adjectives,Terrible-Bad-Ok-Good-Excellent,Terrible-Bad-Ok-Good-Excellent,Terrible-Bad-Ok-Good-Excellent,Terrible-Bad-Ok-Good-Excellent
widgets_return_edd_how_is_this_calculated_link_title,When can I expect my refund?,When can I expect my refund?,When can I expect my refund?,When can I expect my refund?
template_returns_canceled_status_panel_title,Return Canceled,Return Canceled,Return Canceled,Return Canceled
widgets_return_sms_show_success_message,FALSE,FALSE,FALSE,FALSE
widgets_tracking_status_justshipped_status_code,JUSTSHIPPED,JUSTSHIPPED,JUSTSHIPPED,JUSTSHIPPED
tracking_status_exception_canceled,Undeliverable: Canceled by Shipper,Undeliverable: Canceled by Shipper,Undeliverable: Canceled by Shipper,Undeliverable: Canceled by Shipper
tracking_delivery_schedule_nonavail_status,Delivery to be scheduled,Delivery to be scheduled,Delivery to be scheduled,Delivery to be scheduled
widgets_tracking_status_intransit_status_code,INTRANSIT,INTRANSIT,INTRANSIT,INTRANSIT
widgets_return_sms_sms_body_text,Receive a text message when your return package has been delivered.,Receive a text message when your return package has been delivered.,Receive a text message when your return package has been delivered.,Receive a text message when your return package has been delivered.
widgets_sms_sms_update_number_link_text,Update Your Number,Update Your Number,Update Your Number,Update Your Number
widgets_error_panel_title,Delivery Information Unavailable,Delivery Information Unavailable,Delivery Information Unavailable,Delivery Information Unavailable